ModelID,ProfileID,ProfileType
ACH-001530,PR-mXKNsQ,dna
ACH-000433,PR-I8qkql,rna
ACH-000433,PR-0NLPeq,dna
ACH-002239,PR-Fu0w28,dna
ACH-000296,PR-Od05uC,rna
ACH-000296,PR-s9g3cg,dna
ACH-002345,PR-Ygl5DP,dna
ACH-000417,PR-g6AdWm,rna
ACH-000417,PR-q9VmGQ,dna
ACH-000595,PR-4FTz66,rna
ACH-000595,PR-BGUgGC,dna
ACH-002368,PR-1P0pL3,dna
ACH-000061,PR-WlUUhQ,rna
ACH-000061,PR-YkFyBd,dna
ACH-000722,PR-oxqJIi,rna
ACH-000722,PR-7W600z,dna
ACH-002281,PR-NpGjEQ,dna
ACH-001392,PR-GtQmRJ,rna
ACH-001392,PR-LfrPBd,dna
ACH-002010,PR-nmMLbf,rna
ACH-002010,PR-rmiFGJ,dna
ACH-002251,PR-X5mbcD,dna
ACH-001356,PR-tAusaS,rna
ACH-001356,PR-3BkIqE,dna
ACH-000337,PR-ZJC2Tm,rna
ACH-000337,PR-F5f6yU,dna
ACH-000947,PR-ypIXHT,rna
ACH-000947,PR-egJh3A,dna
ACH-000328,PR-S409MD,rna
ACH-000328,PR-CpGcTp,dna
ACH-002312,PR-WQDDwP,dna
ACH-000219,PR-zbbol8,rna
ACH-000219,PR-YYirlb,dna
ACH-000277,PR-ZvWIf3,rna
ACH-000277,PR-uLwAEv,dna
ACH-002926,PR-VcTZiv,rna
ACH-002926,PR-bdhY8L,dna
ACH-000225,PR-niYmQz,rna
ACH-000225,PR-fIitxU,dna
ACH-000788,PR-QmkJ5E,rna
ACH-000788,PR-XkWGDu,dna
ACH-000096,PR-cDHTtz,rna
ACH-000096,PR-pYHfy7,dna
ACH-000966,PR-Q5fGkM,rna
ACH-000966,PR-YK2xaU,dna
ACH-000921,PR-Rb5wEU,rna
ACH-000921,PR-kRqGcx,dna
ACH-000522,PR-KxjYfi,rna
ACH-000522,PR-8Yvnsj,dna
ACH-000733,PR-5IAyrX,rna
ACH-000733,PR-CwO7jK,dna
ACH-002034,PR-igFDAa,rna
ACH-002034,PR-5MNsLN,dna
ACH-003120,PR-CAibHX,rna
ACH-003120,PR-L7QvCt,dna
ACH-000322,PR-triaFC,rna
ACH-000322,PR-SG6WEu,dna
ACH-000182,PR-ZCHM6o,rna
ACH-000182,PR-sJO4Iz,dna
ACH-001400,PR-rBEEq2,rna
ACH-001400,PR-kdeNGD,dna
ACH-000023,PR-dd92qT,rna
ACH-000023,PR-hVRrXM,dna
ACH-000542,PR-PzfzVu,rna
ACH-000542,PR-PtADWb,dna
ACH-001516,PR-hzeMyV,rna
ACH-001516,PR-3L6oOj,dna
ACH-000728,PR-kiBk5e,rna
ACH-000728,PR-GZZYAm,dna
ACH-002936,PR-5wJmAH,rna
ACH-002936,PR-vE8egc,dna
ACH-000634,PR-rbII0n,rna
ACH-000634,PR-QgRnyg,dna
ACH-000290,PR-7pZBap,rna
ACH-000290,PR-s9uzxe,dna
ACH-000997,PR-x7CiR1,rna
ACH-000997,PR-4jA3sP,dna
ACH-000388,PR-RI2MGL,rna
ACH-000388,PR-mDPnd1,dna
ACH-000867,PR-WZ9vDj,rna
ACH-000867,PR-2kNtFF,dna
ACH-002497,PR-GLFhDo,rna
ACH-002497,PR-y6dCjb,dna
ACH-001500,PR-LPTjkk,rna
ACH-001500,PR-eUfoVk,dna
ACH-000135,PR-EBJGGt,rna
ACH-000135,PR-yZCCrM,dna
ACH-002538,PR-ES3f8z,rna
ACH-002538,PR-Hu7pwC,dna
ACH-001332,PR-YCZBm9,rna
ACH-001332,PR-aqFo8p,dna
ACH-000624,PR-AoRUnw,rna
ACH-000624,PR-roGbFO,dna
ACH-002014,PR-lVnV8v,rna
ACH-002014,PR-u1sjnZ,dna
ACH-000818,PR-8UOyEX,rna
ACH-000818,PR-d8Xeu3,dna
ACH-000504,PR-V3UMib,rna
ACH-000504,PR-MKblfW,dna
ACH-000965,PR-ml5T9H,rna
ACH-000965,PR-GYB91T,dna
ACH-002399,PR-0PSp7b,rna
ACH-002399,PR-ac6dwC,dna
ACH-000836,PR-Bn5WhF,rna
ACH-000836,PR-SI1tk5,dna
ACH-000735,PR-D6dR4v,rna
ACH-000735,PR-BVJyOj,dna
ACH-001194,PR-m6zam8,rna
ACH-001194,PR-NDks9r,dna
ACH-001350,PR-vKyC7c,rna
ACH-001350,PR-uIFwjz,dna
ACH-001698,PR-lSPxfa,rna
ACH-001698,PR-Xhtv3P,dna
ACH-002234,PR-LVJxLQ,dna
ACH-000235,PR-elkm5d,rna
ACH-000235,PR-yyBW7y,dna
ACH-000309,PR-FnvgpP,dna
ACH-003480,PR-Px03bN,dna
ACH-002461,PR-QzsyRY,rna
ACH-002461,PR-eK1c8R,dna
ACH-000102,PR-Vz1NIO,rna
ACH-000102,PR-3zSvim,dna
ACH-001190,PR-P15Fva,rna
ACH-001190,PR-otNegA,dna
ACH-000521,PR-N72l8j,rna
ACH-000521,PR-Pd0Ucw,dna
ACH-002200,PR-feKElS,dna
ACH-000431,PR-JxzNBd,rna
ACH-000431,PR-ntXWoU,dna
ACH-000732,PR-xBRCzo,rna
ACH-000732,PR-pnv2Q0,dna
ACH-000967,PR-yJy4ma,rna
ACH-000967,PR-3cTeXa,dna
ACH-001183,PR-OCMaJe,rna
ACH-001183,PR-JyiOtL,dna
ACH-001960,PR-nraCNK,rna
ACH-001960,PR-rcGiQh,dna
ACH-000221,PR-XZjZJc,rna
ACH-000221,PR-L4aIPw,dna
ACH-002224,PR-97H3Ob,dna
ACH-001984,PR-UDfazu,rna
ACH-001984,PR-nYisy2,dna
ACH-000871,PR-X8xxer,rna
ACH-000871,PR-6yfakc,dna
ACH-002119,PR-wnGSlU,dna
ACH-002293,PR-EImm1L,dna
ACH-000014,PR-q6QIQQ,rna
ACH-000014,PR-Olj6Go,dna
ACH-002643,PR-tLLEvN,rna
ACH-002643,PR-tKIRoD,dna
ACH-003181,PR-krXeDW,rna
ACH-003181,PR-BqUhod,dna
ACH-001519,PR-ktBnpW,rna
ACH-001519,PR-7CTAVs,dna
ACH-001526,PR-gKk8nO,rna
ACH-001526,PR-LTKHUp,dna
ACH-000197,PR-QSFh78,rna
ACH-000197,PR-CaXKYy,dna
ACH-000930,PR-6bANmd,rna
